parent_page_id,parent_page_url,filename,file_url,file_type
,https://career.tsinghua.edu.cn/info/1031/5247.htm,就业手续办理指南,https://career.tsinghua.edu.cn/__local/C/0C/0D/DFBF89F82520E70FEFFF6006CCB_9B7B0CFD_18AC66.pdf,pdf
,https://career.tsinghua.edu.cn/info/1031/5247.htm,就业手续基本流程,https://career.tsinghua.edu.cn/__local/D/7A/2A/F5077BC982125D553EC0E59B704_59DE560A_1D531D.pdf,pdf
,https://www.tsinghua.edu.cn/info/1142/1108.htm,本科生转专业指导手册,https://learning.tsinghua.edu.cn/__local/D/89/D4/AFB5694D3D33A86A9036BBB7E20_CB644C39_31BF33.pdf,pdf
,https://www.is.tsinghua.edu.cn/asdfasdf/vp/VisaProcedures.htm,国际学生学者校园生活手册,https://is.tsinghua.edu.cn/guojixueshengxuezhexiaoyuanshenghuoshoucezhongwenban.pdf,pdf
,https://www.xjc.tsinghua.edu.cn/syjx/kysj/kyts.htm,本科教育与发展手册SRT章节,https://www.sps.tsinghua.edu.cn/wj/qinghuadaxueyaoxueyuanbenkejiaoyuyufazhanshouce.pdf,pdf
,https://www.rxc.tsinghua.edu.cn/,2025年清华大学本科生学生手册,https://www.rxc.tsinghua.edu.cn/__local/A/DC/57/5676BB00C2D673752ADBA0D52D6_B626842D_1D58BD.pdf,pdf
,https://its.tsinghua.edu.cn/1wzcycejdh_list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1770,校园网使用说明,https://its.tsinghua.edu.cn/__local/4/DE/70/09B0E55BFA6E2B7F2A8DB1D257F_BC58902D_2C2E09.pdf,pdf
,https://its.tsinghua.edu.cn/1wzcycejdh_content.jsp?urltype=news.NewsContentUrl&wbtreeid=1771&wbnewsid=4536,aTrust PC客户端安装及使用说明,https://its.tsinghua.edu.cn/__local/7/9C/35/5867650D6156C93C37F6C139B11_19811FC6_9C3F7.pdf,pdf
