id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000037,实用信息-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx.htm,https://www.tsinghua.edu.cn/zjqh/syxx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:36+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000037_实用信息-清华大学.md,784,8314e452a33f47eaf77ae368fa3cb93160df9ea2effe163b65715a3a3068ddbd
THU000038,校园风光-清华大学,https://www.tsinghua.edu.cn/zjqh/xyfg.htm,https://www.tsinghua.edu.cn/zjqh/xyfg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:38+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000038_校园风光-清华大学.md,9940,05cb1b0a413e564116101240fc3448133f29f4e4e54b6ee7be6e65e5ab145a80
THU000039,清华文创-清华大学,https://www.tsinghua.edu.cn/zjqh/qhwc.htm,https://www.tsinghua.edu.cn/zjqh/qhwc.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:40+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000039_清华文创-清华大学.md,1433,4976c1f0b65b098caf45d009594b73d743e814b96f1a111a677a2d7b0f8d014b
THU000040,国际重要奖励获得者-清华大学,https://www.tsinghua.edu.cn/jyjx/szdw/gjzyjlhdz.htm,https://www.tsinghua.edu.cn/jyjx/szdw/gjzyjlhdz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:41+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000040_国际重要奖励获得者-清华大学.md,999,a6954499ca511ecc91620031db4302cc0e95f863305ea425625cc16c4cbb00ad
THU000041,中国科学院院士-清华大学,https://www.tsinghua.edu.cn/jyjx/szdw/lyys/zgkxyys.htm,https://www.tsinghua.edu.cn/jyjx/szdw/lyys/zgkxyys.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:43+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000041_中国科学院院士-清华大学.md,1113,feee1b86f59155ac1149a3b518f19bf25ba7e25166a828ffd55d4281e5f28900
THU000042,本科专业-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/bkzy.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/bkzy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:44+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000042_本科专业-清华大学.md,13025,17e0a6ae2603a3d35287611281a75944daa4924f12912944e3a7e12983643c3f
THU000043,教学名师-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/jxms.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/jxms.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:46+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000043_教学名师-清华大学.md,722,a64fecfa43539114d32b4855b36f1d50a832d7c5c9bc7100384d31c46f8f1066
THU000044,优质课程-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/yzkc.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/yzkc.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:47+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000044_优质课程-清华大学.md,1591,9a092892509455bc06a41c2233406abe7a17587fdde4354a43f04276361e18d6
THU000045,实践教学-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/sjjx.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/sjjx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:49+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000045_实践教学-清华大学.md,1360,0d0c5ec555fbad22cf45b36ba6fd587d8e1e4d773f044b7ac9e32a266b9acd8a
THU000046,教学成果-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/jxcg.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/jxcg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:50+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000046_教学成果-清华大学.md,3027,a50386a0636b870c04f30747ed622c0fb19aa7538c1ccd9de1f27b4fd35a0f46
THU000047,特色项目-清华大学,https://www.tsinghua.edu.cn/jyjx/bksjy/tsxm.htm,https://www.tsinghua.edu.cn/jyjx/bksjy/tsxm.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:52+08:00,新生入校,public,public_web,public,knowledge/01_raw_public/THU000047_特色项目-清华大学.md,5028,ff2080b7ed8050e722d95421ca3087c8c631616645a906e4731516b5fe125f62
THU000048,学术学位教育-清华大学,https://www.tsinghua.edu.cn/jyjx/yjsjy/xsxwjy.htm,https://www.tsinghua.edu.cn/jyjx/yjsjy/xsxwjy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:54+08:00,规章制度,public,public_web,public,knowledge/01_raw_public/THU000048_学术学位教育-清华大学.md,2035,8f7f5e7f843c23d9c483b174a74f7ea9d5e34cc4809a624710288bf57d269a92
THU000049,专业学位教育-清华大学,https://www.tsinghua.edu.cn/jyjx/yjsjy/zyxwjy.htm,https://www.tsinghua.edu.cn/jyjx/yjsjy/zyxwjy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:55+08:00,新生入校,public,public_web,public,knowledge/01_raw_public/THU000049_专业学位教育-清华大学.md,2003,e8fd78d66f1fe3cab18a8b5e129c4534cbe2062625aa0a9da28bb82d14623d37
THU000050,课程与教学-清华大学,https://www.tsinghua.edu.cn/jyjx/yjsjy/kcyjx.htm,https://www.tsinghua.edu.cn/jyjx/yjsjy/kcyjx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:57+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000050_课程与教学-清华大学.md,1371,ba325fedd6ca472c3365fd979511235a6065b605edcbeb6e95d0b3a9a0e1d9bb
