id,prompt_tokens,completion_tokens,total_tokens
PUBEXP000189,2558,779,3337
PUBEXP000190,2561,781,3342
PUBEXP000191,3028,754,3782
PUBEXP000192,2608,791,3399
PUBEXP000193,2628,719,3347
PUBEXP000194,2567,1219,3786
PUBEXP000195,2560,968,3528
PUBEXP000196,2598,770,3368
PUBEXP000197,2953,1413,4366
PUBEXP000198,2581,485,3066
PUBEXP000199,2573,791,3364
PUBEXP000200,2570,1287,3857
PUBEXP000201,2610,938,3548
PUBEXP000202,2886,745,3631
PUBEXP000203,2550,669,3219
PUBEXP000204,2491,434,2925
PUBEXP000205,2515,1173,3688
PUBEXP000206,2538,1227,3765
PUBEXP000207,2495,453,2948
PUBEXP000208,2484,530,3014
PUBEXP000209,2551,729,3280
PUBEXP000210,2555,1409,3964
PUBEXP000211,2672,717,3389
PUBEXP000212,2665,439,3104
PUBEXP000213,2716,452,3168
PUBEXP000214,2110,768,2878
PUBEXP000215,1964,477,2441
PUBEXP000216,2100,553,2653
PUBEXP000217,4127,332,4459
PUBEXP000218,3928,288,4216
PUBEXP000219,2490,615,3105
PUBEXP000220,2534,762,3296
PUBEXP000221,2631,1097,3728
PUBEXP000222,2540,764,3304
PUBEXP000223,2512,771,3283
PUBEXP000224,2518,1597,4115
PUBEXP000225,2591,638,3229
PUBEXP000226,2535,738,3273
PUBEXP000227,2516,762,3278
PUBEXP000228,2532,505,3037
PUBEXP000229,2561,566,3127
PUBEXP000230,2539,790,3329
PUBEXP000231,2533,799,3332
PUBEXP000232,2490,936,3426
PUBEXP000233,2515,653,3168
PUBEXP000234,2489,538,3027
PUBEXP000235,2521,705,3226
PUBEXP000236,2523,651,3174
PUBEXP000237,2537,630,3167
PUBEXP000238,2524,795,3319
PUBEXP000239,2533,583,3116
PUBEXP000240,2518,586,3104
PUBEXP000241,2737,378,3115
PUBEXP000242,1834,486,2320
PUBEXP000243,2107,423,2530
PUBEXP000244,2317,638,2955
PUBEXP000245,4098,904,5002
PUBEXP000246,2633,503,3136
PUBEXP000247,1926,390,2316
PUBEXP000248,2554,782,3336
PUBEXP000249,2518,1077,3595
PUBEXP000250,2520,1282,3802
PUBEXP000251,2519,1734,4253
PUBEXP000252,1965,790,2755
PUBEXP000253,1881,1176,3057
PUBEXP000254,1818,758,2576
PUBEXP000255,2554,404,2958
PUBEXP000256,2565,792,3357
PUBEXP000257,2574,789,3363
PUBEXP000258,2589,572,3161
PUBEXP000259,2505,1132,3637
PUBEXP000260,2545,794,3339
PUBEXP000261,2542,496,3038
PUBEXP000262,2569,554,3123
PUBEXP000263,2585,759,3344
PUBEXP000264,2561,780,3341
PUBEXP000265,2554,413,2967
PUBEXP000266,2570,2368,4938
PUBEXP000267,2557,1755,4312
PUBEXP000268,2604,620,3224
PUBEXP000269,2519,540,3059
PUBEXP000270,2560,751,3311
PUBEXP000271,2550,614,3164
PUBEXP000272,2553,935,3488
PUBEXP000273,2562,310,2872
PUBEXP000274,2583,406,2989
PUBEXP000275,2534,533,3067
PUBEXP000276,2626,610,3236
PUBEXP000277,2534,409,2943
PUBEXP000278,2553,412,2965
PUBEXP000279,2553,432,2985
PUBEXP000280,2544,1066,3610
PUBEXP000281,2562,509,3071
PUBEXP000282,2545,766,3311
PUBEXP000283,2604,371,2975
PUBEXP000284,2572,359,2931
PUBEXP000285,2542,1271,3813
PUBEXP000286,2545,1314,3859
PUBEXP000287,2568,301,2869
PUBEXP000288,2586,475,3061
PUBEXP000289,2586,682,3268
PUBEXP000290,2527,595,3122
PUBEXP000291,2561,831,3392
PUBEXP000292,2537,579,3116
PUBEXP000293,2581,1005,3586
PUBEXP000294,2529,657,3186
PUBEXP000295,2559,735,3294
PUBEXP000296,2525,1295,3820
PUBEXP000297,2547,789,3336
PUBEXP000298,2504,577,3081
PUBEXP000299,2528,812,3340
PUBEXP000300,2525,1159,3684
