family,current_pool,current_train,target,proposed_keep,proposed_drop,minimum_add,recommended_candidate_min,recommended_candidate_max,historical_acceptance_rate_reference,final_expected
INSTRUCTION_VALUE_FIDELITY,37,34,300,37,0,263,658,1052,0.2885304659498208,300
GENERAL_QA_SCIENCE_READING,55,51,264,55,0,209,523,836,0.2885304659498208,264
GENERAL_REASONING,51,46,240,51,0,189,473,756,0.2885304659498208,240
WRITING_MULTILINGUAL,90,79,120,90,0,30,75,120,0.2885304659498208,120
CODING,9,8,96,9,0,87,218,348,0.2885304659498208,96
PROGRAMMATIC_MATH,300,270,120,120,180,0,0,0,0.2885304659498208,120
OTHER_MATH,299,269,60,60,239,0,0,0,0.2885304659498208,60
