url,reason
https://lib.tsinghua.edu.cn/Services/Print_Copy_Scan.htm,http_404
https://lib.tsinghua.edu.cn/Services/Suggest_a_Purchase.htm,http_404
https://lib.tsinghua.edu.cn/Services/Thesis_Submission.htm,http_404
https://lib.tsinghua.edu.cn/info/1021/1472.htm,http_404
https://lib.tsinghua.edu.cn/info/1021/1471.htm,http_404
https://lib.tsinghua.edu.cn/info/1021/1470.htm,http_404
https://lib.tsinghua.edu.cn/News_Events.htm,http_404
https://lib.tsinghua.edu.cn/info/1152/1112.htm,http_404
https://lib.tsinghua.edu.cn/info/1152/1114.htm,http_404
https://lib.tsinghua.edu.cn/info/1152/1119.htm,http_404
https://lib.tsinghua.edu.cn/info/1152/1118.htm,http_404
https://lib.tsinghua.edu.cn/info/1152/1116.htm,http_404
https://lib.tsinghua.edu.cn/Exhibits.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Humanities___Social_Sciences_Library.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Arts_Library.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Finance_Library.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Law_Library.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Economics___Management_Library.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries/Architecture_Library.htm,http_404
https://lib.tsinghua.edu.cn/Tsinghua_Library_Data.htm,http_404
https://lib.tsinghua.edu.cn/Subject_Libraries.htm,http_404
https://lib.tsinghua.edu.cn/Giving_to_the_library.htm,http_404
https://lib.tsinghua.edu.cn/info/1184/3904.htm,outside_domain_redirect
https://lib.tsinghua.edu.cn/resource/qh,http_404
https://peace.tsinghua.edu.cn/info/1024/1461.htm,http_404
https://lib.tsinghua.edu.cn/zy/gzfb.htm,http_404
https://lib.tsinghua.edu.cn/zy/zyts/ztzj.htm,http_404
https://lib.tsinghua.edu.cn/zy/flsjk/zwflsjk.htm,http_404
https://lib.tsinghua.edu.cn/zy/tsgz.htm,http_404
https://lib.tsinghua.edu.cn/fw/blss/dht_gyc.htm,http_404
https://lib.tsinghua.edu.cn/fw/dzzx.htm,http_404
https://lib.tsinghua.edu.cn/jxzc/ckzx.htm,http_404
https://lib.tsinghua.edu.cn/jxzc/pxjz/pxzl.htm,http_404
https://lib.tsinghua.edu.cn/jxzc/jxjc/jcfwpt.htm,http_404
https://lib.tsinghua.edu.cn/gk/gyft.htm,http_404
https://lib.tsinghua.edu.cn/gk/kjbj.htm,http_404
https://lib.tsinghua.edu.cn/ggxx/tzgg.htm,http_404
https://lib.tsinghua.edu.cn/info/1062/2152.htm,http_404
https://lib.tsinghua.edu.cn/ggxx/tbgz.htm,http_404
https://lib.tsinghua.edu.cn/info/1060/2150.htm,http_404
https://lib.tsinghua.edu.cn/ggxx/zydt.htm,http_404
https://lib.tsinghua.edu.cn/info/1064/2129.htm,http_404
https://lib.tsinghua.edu.cn/zy/glzy.htm,http_404
https://lib.tsinghua.edu.cn/zy/sjkzy.htm,http_404
https://lib.tsinghua.edu.cn/zy/ysdssjk.htm,http_404
https://lib.tsinghua.edu.cn/fw/kjbj.htm,http_404
https://lib.tsinghua.edu.cn/gk/lsyg.htm,http_404
https://lib.tsinghua.edu.cn/lxwm1.htm,http_404
https://lib.tsinghua.edu.cn/jgjz.htm,http_404
https://lib.tsinghua.edu.cn/info/1078/9304.htm,http_404
https://lib.tsinghua.edu.cn/info/1078/9255.htm,http_404
https://lib.tsinghua.edu.cn/info/1078/9252.htm,http_404
https://lib.tsinghua.edu.cn/tszy/qmzj.htm,http_404
https://lib.tsinghua.edu.cn/tszy/yszt.htm,http_404
https://lib.tsinghua.edu.cn/tszy/gfzsh.htm,http_404
https://lib.tsinghua.edu.cn/gk/gsfm/bgsp.htm,http_404
https://lib.tsinghua.edu.cn/zy/jrxqwdzk/jrxzwxsqk/ALL.htm,http_404
https://lib.tsinghua.edu.cn/info/1122/1235.htm,http_404
https://lib.tsinghua.edu.cn/zy/gjjrjgzl.htm,http_404
https://lib.tsinghua.edu.cn/zy/jz/jzjy.htm,http_404
https://lib.tsinghua.edu.cn/fw/jrsjsyxlpx/a2026.htm,http_404
https://lib.tsinghua.edu.cn/fw/nbehhxhdzzz/a2025n.htm,http_404
https://lib.tsinghua.edu.cn/fw/wdkxyzx.htm,http_404
https://lib.tsinghua.edu.cn/fw/tsjh.htm,http_404
https://lib.tsinghua.edu.cn/gk/kgsj.htm,http_404
https://lib.tsinghua.edu.cn/gk/rgxz.htm,http_404
https://lib.tsinghua.edu.cn/gk/gsbj.htm,http_404
https://lib.tsinghua.edu.cn/gk/bgfc.htm,http_404
https://lib.tsinghua.edu.cn/index/tzgg.htm,http_404
