url,type
https://www.tsinghua.edu.cn/zjqh/syxx/qhxl.htm,historical_url
https://www.tsinghua.edu.cn/zjqh/xyfg.htm,historical_url
https://www.tsinghua.edu.cn/zjqh/xyfg/xydt.htm,historical_url
https://www.tsinghua.edu.cn/zjqh/xyfg/xyjg.htm,historical_url
https://www.tsinghua.edu.cn/zjqh/qhwc.htm,historical_url
https://lib.tsinghua.edu.cn/index.htm,historical_url
https://lib.tsinghua.edu.cn/,historical_content
https://lib.tsinghua.edu.cn/jy/bzfw.htm,internal_content
https://lib.tsinghua.edu.cn/kj/zzfw1.htm,internal_content
https://lib.tsinghua.edu.cn/kyzc/jszm.htm,internal_content
https://lib.tsinghua.edu.cn/kj/wzxq.htm?id=c466ea38-ef61-47c7-b5d5-84a9ced029a3,internal_content
https://lib.tsinghua.edu.cn/zytsg/zytsg.htm,internal_content
https://www.tsinghua.edu.cn/fk.htm,historical_url
https://lib.tsinghua.edu.cn/zytsg/jgtsg.htm,internal_content
https://lib.tsinghua.edu.cn/zytsg/jztsg.htm,internal_content
https://lib.tsinghua.edu.cn/index/kjssztsg.htm,internal_content
https://lib.tsinghua.edu.cn/kj/wzxq.htm?id=042c73c0-03de-45d8-9f92-f59dbcb44844,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=9c924859-e8b6-45db-b715-cebba05207d9&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/bjdxtsgjszblsq.htm,internal_content
http://lib.tsinghua.edu.cn/kyzc/jszm.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=d94beb30-d092-451e-b9ed-b0d2a223dbd4&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/tzgjwxylyy.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=e88cb8a6-6391-4c88-bc0e-0ea67d536732&site=1,internal_content
https://lib.tsinghua.edu.cn/law,internal_content
https://lib.tsinghua.edu.cn/arts,internal_content
https://lib.tsinghua.edu.cn/finance,internal_content
https://lib.tsinghua.edu.cn/arts/fw/fwss.htm,internal_content
https://lib.tsinghua.edu.cn/arts/fw/xkfw.htm,internal_content
https://lib.tsinghua.edu.cn/law/fw/jyyd/gnylsksy.htm,internal_content
https://lib.tsinghua.edu.cn/info/1073/8135.htm,internal_content
https://www.itc.tsinghua.edu.cn/index.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2197.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2201.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2193.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2190.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2213.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2212.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2210.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2204.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2203.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1004/2202.htm,internal_content
https://www.tsinghua.edu.cn/en,historical_url
https://lib.tsinghua.edu.cn/zy/wszt.htm,internal_content
https://lib.tsinghua.edu.cn/kj/kjbj.htm,internal_content
https://lib.tsinghua.edu.cn/kj/blss.htm,internal_content
https://lib.tsinghua.edu.cn/kj/ylg.htm,internal_content
https://lib.tsinghua.edu.cn/xxzc/jcjc.htm,internal_content
https://lib.tsinghua.edu.cn/xxzc/kcjx.htm,internal_content
https://lib.tsinghua.edu.cn/xxzc/pxjz.htm,internal_content
https://lib.tsinghua.edu.cn/xxzc/zcal.htm,internal_content
https://lib.tsinghua.edu.cn/kyzc/kjcx.htm,internal_content
https://lib.tsinghua.edu.cn/kyzc/xxjl.htm,internal_content
https://lib.tsinghua.edu.cn/kyzc/zscq.htm,internal_content
https://lib.tsinghua.edu.cn/kyzc/tgdy.htm,internal_content
https://lib.tsinghua.edu.cn/info/1114/2615.htm,internal_content
https://lib.tsinghua.edu.cn/info/1114/3373.htm,internal_content
https://lib.tsinghua.edu.cn/info/1115/2621.htm,internal_content
https://lib.tsinghua.edu.cn/info/1115/2619.htm,internal_content
https://lib.tsinghua.edu.cn/info/1115/4614.htm,internal_content
https://lib.tsinghua.edu.cn/info/1115/5809.htm,internal_content
https://lib.tsinghua.edu.cn/info/1115/4615.htm,internal_content
https://lib.tsinghua.edu.cn/tjfw/xwfw.htm,internal_content
https://lib.tsinghua.edu.cn/tjfw/zyjg.htm,internal_content
https://lib.tsinghua.edu.cn/tjfw/wxjjclfw.htm,internal_content
https://lib.tsinghua.edu.cn/index/rmfw/jcfw.htm,internal_content
http://lib.tsinghua.edu.cn/jy/gjhj.htm,internal_content
https://lib.tsinghua.edu.cn/index/gjrj.htm,internal_content
https://lib.tsinghua.edu.cn/index/rmfw/ylg.htm,internal_content
https://lib.tsinghua.edu.cn/tszy/wwcz.htm,internal_content
https://lib.tsinghua.edu.cn/tszy/qhgj.htm,internal_content
https://lib.tsinghua.edu.cn/zy/wzxq.htm?id=f8b4fca5-1019-4be1-b490-1243946b7f0a,internal_content
https://lib.tsinghua.edu.cn/tszy/zttz.htm,internal_content
https://lib.tsinghua.edu.cn/tszy/qhwk.htm,internal_content
https://lib.tsinghua.edu.cn/tszy/mjzz.htm,internal_content
https://peace.tsinghua.edu.cn/index.htm,internal_content
https://lib.tsinghua.edu.cn/tjfw/bgthhyssq.htm,internal_content
http://lib.tsinghua.edu.cn/newstudentsen,internal_content
http://lib.tsinghua.edu.cn/,historical_content
http://lib.tsinghua.edu.cn/tjfw/xwfw.htm,internal_content
https://lib.tsinghua.edu.cn/newstudents,internal_content
http://lib.tsinghua.edu.cn/xxzc/pxjz.htm,internal_content
http://lib.tsinghua.edu.cn/kyzc/tgdy.htm,internal_content
http://lib.tsinghua.edu.cn/tjfw/bgthhyssq.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=063e0ebe-29eb-41f8-8175-5058652cc54a&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/cgjdlx.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=a81d3fcc-30da-427f-a4b7-315117795bdd&site=1,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=ef7bbbc2-b259-4976-8f2b-28f9acfbbdb2&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/zgkjjyqdcssq.htm,internal_content
http://lib.tsinghua.edu.cn/xxzc/zcal.htm,internal_content
http://lib.tsinghua.edu.cn/kyzc/kjcx.htm,internal_content
http://lib.tsinghua.edu.cn/xxzc/kcjx.htm,internal_content
http://lib.tsinghua.edu.cn/tjfw/szsq.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=20cbfca4-22e0-4040-b2ad-629b09a82417&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/wxjjclfw.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=69c3a91e-39f1-4ac3-91dc-cb0513bfc131&site=1,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=41a857d3-e8e0-4129-ac47-b573ee841c37&site=1,internal_content
http://lib.tsinghua.edu.cn/tjfw/ycskwxtdsq.htm,internal_content
http://lib.tsinghua.edu.cn/tjfw/zlsq.htm,internal_content
http://lib.tsinghua.edu.cn/tjfw/zyjg.htm,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=8cb8e58c-b9c4-4fe9-a71d-86d9598ebad7&site=1,internal_content
http://lib.tsinghua.edu.cn/nry.htm?id=d5a719c4-e628-4c54-805f-e9868b84d30e&site=1,internal_content
https://lib.tsinghua.edu.cn/info/1071/7866.htm,internal_content
https://lib.tsinghua.edu.cn/info/1071/7551.htm,internal_content
https://lib.tsinghua.edu.cn/info/1073/6613.htm,internal_content
https://lib.tsinghua.edu.cn/tjhd/zrtsg/7.htm,internal_content
https://lib.tsinghua.edu.cn/tjhd/zrtsg/6.htm,internal_content
https://lib.tsinghua.edu.cn/tjhd/zrtsg/5.htm,internal_content
https://lib.tsinghua.edu.cn/info/1151/2933.htm,internal_content
https://lib.tsinghua.edu.cn/tjhd/zrtsg/4.htm,internal_content
https://lib.tsinghua.edu.cn/tjhd/zrtsg/1.htm,internal_content
https://lib.tsinghua.edu.cn/arts/zy/sjkzy.htm,internal_content
https://lib.tsinghua.edu.cn/arts/zy/tszy.htm,internal_content
https://lib.tsinghua.edu.cn/arts/zy/ysdssjk.htm,internal_content
https://lib.tsinghua.edu.cn/arts/zy/zxzy.htm,internal_content
https://lib.tsinghua.edu.cn/arts/zy/wszt.htm,internal_content
https://lib.tsinghua.edu.cn/arts/fw/kjbj.htm,internal_content
https://lib.tsinghua.edu.cn/arts/lxwm1.htm,internal_content
https://lib.tsinghua.edu.cn/arts/tzgg.htm,internal_content
https://lib.tsinghua.edu.cn/arts/tszy/yszt.htm,internal_content
https://lib.tsinghua.edu.cn/arts/tszy/gfzsh.htm,internal_content
https://lib.tsinghua.edu.cn/jy/wzxq.htm?id=5dfcaf25-7776-47c8-865d-7ac2adb8d957,internal_content
https://lib.tsinghua.edu.cn/finance/index/tzgg.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/2139.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/2089.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/1854.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/1646.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/1557.htm,internal_content
https://lib.tsinghua.edu.cn/law/info/1035/1556.htm,internal_content
https://lib.tsinghua.edu.cn/law/jxzc/ckzx.htm,internal_content
https://lib.tsinghua.edu.cn/law/lxwm.htm,internal_content
https://lib.tsinghua.edu.cn/law/ggxx/tzgg.htm,internal_content
https://lib.tsinghua.edu.cn/law/ggxx/zydt.htm,internal_content
https://peace.tsinghua.edu.cn/aqjs/aqzs/15.htm,internal_content
https://peace.tsinghua.edu.cn/aqjs/aqzs/14.htm,internal_content
https://peace.tsinghua.edu.cn/aqjs/aqzs/13.htm,internal_content
https://peace.tsinghua.edu.cn/aqjs/aqzs/12.htm,internal_content
https://peace.tsinghua.edu.cn/aqjs/aqzs/1.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2207.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2208.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2199.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2198.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2195.htm,internal_content
https://www.itc.tsinghua.edu.cn/info/1003/2192.htm,internal_content
